PPP_USERNAME_masked_masked,INSERTED_DATE,Rule1_SensorError,Rule2_Critical,Rule3_Degrading,Rule4_SuddenDrop,Rule5_RX_Instability,Rule6_PersistentLowSignal,Rule7_FrequentFault,Final System Output,Same Day Fault,1st Week Fault,2nd Week fault,3rd week fault,4th week fault,Final Fault Result,TP,TN,FP,FN
PHONE_100048,2025-07-02,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
PHONE_100048,2025-07-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PHONE_100048,2025-07-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PHONE_100049,2025-07-02,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
PHONE_100049,2025-07-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PHONE_100049,2025-07-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PHONE_100051,2025-07-02,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0
PHONE_100051,2025-07-03,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
PHONE_100051,2025-07-04,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
PHONE_100052,2025-07-02,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
PHONE_100052,2025-07-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PHONE_100052,2025-07-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PHONE_100053,2025-07-02,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
PHONE_100053,2025-07-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PHONE_100053,2025-07-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PHONE_100054,2025-07-04,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
